"entity_name","ls","p"
"BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE)",0.0043968507049669,0.00194613035774871
"PS 182",0.00511803242024613,0.00336449655068421
"BRONX COMPASS HIGH SCHOOL",0.00729105942383975,0.00186131111697516
"ICAHN CHARTER SCHOOL 2",0.00810887069776802,0.0015314585139669
"BRONX COLLABORATIVE HIGH SCHOOL",0.00821936054424614,0.00261997210389415
"MARIE CURIE HIGH SCH-NURSING, MEDICINE & APPLIED HLTH PROF",0.0082830136903916,0.00202152523843631
"BRONX ENGINEERING AND TECHNOLOGY ACADEMY",0.0112007709765058,0.00176235533607268
"PS/MS 31 THE WILLIAM LLOYD GARRISON",0.0114729716413104,0.00309590228823463
"BRONX HIGH SCHOOL FOR MEDICAL SCIENCE",0.0147799190862554,0.00198853997813548
"PS 114 LUIS LORENS TORRES SCHOOL",0.0160592801631272,0.00337863309081313
"RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TECHNOLOGY",0.0161905295547343,0.00225242206054209
"BRONX COMMUNITY CHARTER SCHOOL",0.0173126023166879,0.00239849964187432
"KNOWLEDGE AND POWER PREP ACADEMY INTERNATIONAL HIGH SCHOOL",0.0178824182298297,0.00220530026011234
"GRAND CONCOURSE ACAD CHARTER SCH",0.0179279533419935,0.00272835224488257
"BRONXDALE HIGH SCHOOL",0.0181600813468637,0.00216289063972556
"SCHUYLERVILLE PREPARATORY HIGH SCHOOL",0.0182440734259652,0.0016068533946545
"BRONX RIVER HIGH SCHOOL",0.0193345332409664,0.00201210087835036
"PELHAM LAB HIGH SCHOOL",0.0194155538320119,0.00215817845968259
"EMOLIOR ACADEMY",0.0194164803664058,0.00154088287405285
"PS 72 DR WILLIAM DORNEY",0.0197855921983018,0.00326082858973876
"BRONX CENTER FOR SCIENCE AND MATHEMATICS",0.0203327619138698,0.00211576883929581
"BRONX LAB SCHOOL",0.0207148853073749,0.001701096995514
"BRONX REGIONAL HIGH SCHOOL",0.0221795693326344,0.000739812266747088
"GRANT AVENUE ELEMENTARY SCHOOL",0.0222330515680389,0.00197911561804953
"PS 536",0.0234956607389889,0.00189429637727598
"YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX",0.0238958183091166,0.00255871376333547
"PS 18 JOHN PETER ZENGER",0.0239065132657564,0.00249745542277679
