"entity_name","ls","p"
"ABRAHAM LINCOLN HIGH SCHOOL",0.0152140951497623,0.00623212296144749
"PS 889",0.0246941375342986,0.00032903524260648
"IS 338",0.0283453970795064,0.000693906006684954
"CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL",0.0347629615769833,0.00328057910202699
"LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC",0.0410587206118338,0.000915434684875455
"PROFESSIONAL PATHWAYS HIGH SCHOOL",0.0582901575479202,0.000684132682647137
"JOHN DEWEY HIGH SCHOOL",0.0587757584744097,0.00713126877292659
"PS 194 RAOUL WALLENBERG",0.0607023054876276,0.00162562956495677
"PS 139 ALEXINE A FENTY",0.0693895065190574,0.00288964614051434
"ORIGINS HIGH SCHOOL",0.0731782148051839,0.00132917206914301
"JHS 278 MARINE PARK",0.0742826334163601,0.00391584516448504
"PS 38 PACIFIC (THE)",0.074498949288277,0.00170055838258003
"JHS 14 SHELL BANK",0.0815779654286547,0.00171684725597639
"HIGH SCHOOL OF SPORTS MANAGEMENT",0.0817439925697403,0.000801412571100932
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL",0.0857924264775023,0.0010848389681976
"BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL",0.0868064812466024,0.00106529232012197
"EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS",0.0877512163604201,0.00122166550472703
"PS 207 ELIZABETH G LEARY",0.0924023826620354,0.00373015200776653
"IS 381",0.0941139165294107,0.000827474768535109
"PARK SLOPE COLLEGIATE",0.0977590404101319,0.00229021559952827
"SCHOOL FOR CLASSICS:  AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS (THE)",0.0994322389142061,0.000863310290007102
"PS 193 GIL HODGES",0.100320921191442,0.00222180233126356
"PS 282 PARK SLOPE",0.103350503412545,0.0018667048912229
"SECONDARY SCHOOL FOR JOURNALISM",0.11404569817979,0.00086005251532783
"EDWARD R MURROW HIGH SCHOOL",0.114877335700766,0.0120961173841372
"PS 315",0.116219573475563,0.00199375810371451
"KINGSBOROUGH EARLY COLLEGE SCHOOL",0.120668657298882,0.00217619348575375
"ANDRIES HUDDE SCHOOL",0.12198328235144,0.00225438007805628
"JHS 292 MARGARET S DOUGLAS",0.122804692400423,0.00181132272167528
"PS 9 TEUNIS G BERGEN",0.123891159417207,0.00264205526488966
"INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS",0.125981951823528,0.00112719003902814
"BROOKLYN INTERNATIONAL HIGH SCHOOL AT WATERS EDGE",0.127773205248919,0.00113696336306596
"PS 188 MICHAEL E BERDY",0.129271200625359,0.00117279888453795
"JHS 62 DITMAS",0.135569130641281,0.00392236071384359
"BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES",0.136963167763771,0.00223809120465992
"JHS 218 JAMES P SINNOTT",0.141017704830548,0.00139106978804918
"URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN",0.147847055097683,0.0016451762130324
"PS 20 CLINTON HILL",0.14837081710812,0.00139758533740772
"MIDWOOD HIGH SCHOOL",0.151407451818981,0.0135556004404511
"BROOKLYN URBAN GARDEN CHARTER SCHOOL",0.153662602350256,0.000931723558271816
"URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTHCARE",0.153724751860297,0.00109461229223542
"WILLIAM E GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",0.15529425626481,0.00135849204125646
"PS 56 LEWIS H LATIMER",0.155971590964705,0.000736257077515491
"PS 25 EUBIE BLAKE SCHOOL",0.161747929257733,0.000257364199662495
"PS 249 CATON (THE)",0.16918227614615,0.00273001518123001
"PS 307 DANIEL HALE WILLIAMS",0.169571830657324,0.00108158119351833
"LIBERATION DIPLOMA PLUS",0.171855688186855,0.000677617133288593
"KHALIL GIBRAN INTERNATIONAL ACADEMY",0.1823683503977,0.000697163781364226
"PS 90 EDNA COHEN SCHOOL",0.185579663758813,0.00186344711654363
"PS 212 LADY DEBORAH MOODY",0.185895139364488,0.00218596680979157
"BROOKLYN SCHOOL FOR GLOBAL STUDIES",0.186447219289013,0.000807928120459477
"PS 119 AMERSFORT",0.187000498851021,0.00134871871721864
"SCHOOL OF SCIENCE AND TECHNOLOGY",0.188190437602269,0.00201330475179015
"IS 303 HERBERT S EISENBERG",0.188251901660119,0.00185041601782654
"YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN",0.188894594088609,0.00125098547684048
"PS 32 SAMUELS MILLS SPROLE",0.189870064945559,0.00143342085887972
"SCHOOL FOR INTERNATIONAL STUDIES",0.199865238005183,0.00236188664247226
"SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG",0.203534715726957,0.00141387421080408
"PS 15 PATRICK F DALY",0.20434332133755,0.00130310987170883
"EBBETS FIELD MIDDLE SCHOOL",0.205675719813489,0.000439799581701731
"SATELLITE WEST MIDDLE SCHOOL",0.206610473690308,0.000899145811479095
"PS 133 WILLIAM A BUTLER",0.206765408976417,0.00228044227549046
"ACADEMY OF INNOVATIVE TECHNOLOGY",0.209853381127242,0.00139106978804918
"IS 318 EUGENO MARIA DE HOSTOS",0.210597061025102,0.00393539181256068
"PS 329 SURFSIDE",0.212764894196748,0.00117605665921722
"BROOKLYN SCHOOL FOR MATH AND RESEARCH (THE)",0.213344565504534,0.000902403586158367
"JHS 78 ROY H MANN",0.214614900711728,0.0018667048912229
"PS 326",0.21492195720981,0.000449572905739547
"PS 312 BERGEN BEACH",0.215998571842532,0.00231302002228318
"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE AND TECHNOLOGY",0.216747972706098,0.001400843112087
"BROOKLYN LAB SCHOOL",0.217777818036234,0.00146274083099317
"PS/IS 45 HORACE E GREENE",0.225447816753644,0.00194489148352543
"PS 328 PHYLLIS WHEATLEY",0.227865309346394,0.000811185895138749
"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCI, TECH AND CREATIVE ARTS",0.235246719025245,0.0018667048912229
"AUTOMOTIVE HIGH SCHOOL",0.235391816612506,0.00110438561627324
"JHS 88 PETER ROUGET",0.236242681343551,0.00473680438366161
"FRANKLIN DELANO ROOSEVELT HIGH SCHOOL",0.236294696276155,0.0104509411711048
