"school","ls_county","p_county"
"A J SCHMIDT ELEMENTARY SCHOOL",0.417425504483512,0.00236480383623733
"AKRON ELEMENTARY SCHOOL",0.54717298266568,0.00449148506396466
"AKRON HIGH SCHOOL",0.494750910344628,0.0036293169986698
"AKRON MIDDLE SCHOOL",0.566680027888775,0.00280820455553183
"ALDEN INTERMEDIATE SCHOOL",0.365206461193543,0.0027835711822377
"ALDEN MIDDLE SCHOOL",0.385492652819772,0.00311201615949288
"ALDEN PRIMARY AT TOWNLINE",0.350381172132397,0.00273430443564942
"ALDEN SENIOR HIGH SCHOOL",0.386402683629587,0.00419588458443499
"ALLENDALE ELEMENTARY SCHOOL",0.281497280725821,0.00423694020659189
"ALOMA D JOHNSON CHARTER SCHOOL",1.16937173663986,0.00212668122772732
"ALTERNATIVE HIGH SCHOOL AT 44",0.677924500413617,0.00115776854482453
"AMHERST CENTRAL HIGH SCHOOL",0.0213602860216638,0.00706977813541786
"AMHERST MIDDLE SCHOOL",0.0314042043479305,0.00561640911106367
"ARMOR ELEMENTARY SCHOOL",0.31107028140646,0.00264398206690424
"BEN FRANKLIN ELEMENTARY SCHOOL",0.0455608380852932,0.0040727177179643
"BEN FRANKLIN MIDDLE SCHOOL",0.0843580243072269,0.00537007537812228
"BENNETT PARK MONTESSORI SCHOOL",0.537880984668125,0.00514837501847503
"BIG TREE ELEMENTARY SCHOOL",0.221215698288732,0.00432726257533707
"BILINGUAL CENTER",1.4958640662537,0.00384280623388567
"BLASDELL ELEMENTARY SCHOOL",0.220194551088386,0.00352257238106186
"BOSTON VALLEY ELEMENTARY SCHOOL",0.368386917075455,0.00188034749478594
"BUFFALO ACADEMY FOR THE VISUAL & PERFORMING ARTS",0.46264350766338,0.00594485408831885
"BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL",0.729450479649943,0.00575599822639712
"BUFFALO COLLEGIATE CHARTER SCHOOL",1.10973382748843,0.000911434811883139
"BUFFALO ELEMENTARY SCHOOL OF TECHNOLOGY",0.532640585472179,0.00445864056623914
"BUFFALO UNITED CHARTER SCHOOL",1.10462749487895,0.00525511963608296
"BUILD COMMUNITY SCHOOL",1.05235477850957,0.00292316029757115
"BURGARD VOCATIONAL HIGH SCHOOL",0.748448898732412,0.00404808434467016
"CASEY MIDDLE SCHOOL",0.114971647485266,0.00516479726733779
"CAYUGA HEIGHTS ELEMENTARY SCHOOL",0.184530888455613,0.00698766689110407
"CHARLES A LINDBERGH ELEMENTARY SCHOOL",0.136668933279604,0.00413019558898396
"CHARLOTTE AVENUE ELEMENTARY SCHOOL",0.311946769800651,0.00216773684988422
"CHARLOTTE SIDWAY SCHOOL",0.261852646924391,0.00309559391063012
"CHARTER SCHOOL FOR APPLIED TECHNOLOGIES",0.415107388587576,0.0185899857126435
"CHARTER SCHOOL OF INQUIRY",1.07757966014764,0.00196245873909973
"CHEEKTOWAGA HIGH SCHOOL",0.0950856907127487,0.00563283135992643
"CHEEKTOWAGA MIDDLE SCHOOL",0.117817881792249,0.00506626377416123
"CITY HONORS SCHOOL AT FOSDICK MASTEN PARK",0.0366499048275175,0.00889264775918414
"CLARENCE CENTER ELEMENTARY SCHOOL",0.344144980451544,0.00308738278619874
"CLARENCE MIDDLE SCHOOL",0.24704193731457,0.00855599165749758
"CLARENCE SENIOR HIGH SCHOOL",0.28393402287564,0.0120457195408339
"CLEVELAND HILL ELEMENTARY SCHOOL",0.0859011734747554,0.00478708554349433
"CLEVELAND HILL HIGH SCHOOL",0.0758541759908268,0.00324339415039495
"CLEVELAND HILL MIDDLE SCHOOL",0.0917539231987433,0.00226627034306078
"CLINTON ELEMENTARY SCHOOL",0.274551571989038,0.00469676317474915
"CLOVERBANK ELEMENTARY SCHOOL",0.279892947538134,0.00459001855714121
"COLDEN ELEMENTARY SCHOOL",0.382293505574014,0.00136304665560902
"COMMUNITY SCHOOL #53 AT #4",0.915539259431967,0.00353899462992462
"COMO PARK ELEMENTARY SCHOOL",0.298250182779098,0.00319412740380668
"COUNTRY PARKWAY ELEMENTARY SCHOOL",0.45019594810888,0.00445042944180776
"COURT STREET ELEMENTARY SCHOOL",0.329693049337728,0.00291494917313977
"D'YOUVILLE-PORTER CAMPUS",1.4516815808712,0.00509089714745537
"DEPEW HIGH SCHOOL",0.207216409009768,0.00456538518384708
"DEPEW MIDDLE SCHOOL",0.202061860620536,0.00321876077710082
"DISCOVERY SCHOOL",0.0318598097148401,0.00462286305486673
"DODGE ELEMENTARY SCHOOL",0.195407424790309,0.00444221831737638
"DR ANTONIA PANTOJA COMMUNITY SCHOOL OF ACADEMIC EXCELLENCE AT #18",0.692876877608927,0.00380175061172877
"DR GEORGE BLACKMAN ECC",0.626206818130762,0.00329266089698323
"DR LYDIA T WRIGHT SCH OF EXCELLENCE",1.03615555239652,0.00489383016110226
"EAST AURORA HIGH SCHOOL",0.349214590565706,0.00528796413380848
"EAST AURORA MIDDLE SCHOOL",0.321166144145812,0.00419588458443499
"EAST COMMUNITY HIGH SCHOOL",0.700683858809561,0.00201993661011939
"EAST MIDDLE SCHOOL",0.12754618340067,0.00670848866043716
"EDEN ELEMENTARY SCHOOL",0.365040271317485,0.00237301496066871
"EDEN JUNIOR-SENIOR HIGH SCHOOL",0.361253575370863,0.00615013219910334
"EGGERT ROAD ELEMENTARY SCHOOL",0.237331214800506,0.0041137733401212
"ELLICOTT ROAD ELEMENTARY SCHOOL",0.383529524560073,0.00494309690769054
"ELMA PRIMARY SCHOOL",0.389536376732636,0.00237301496066871
"ELMWOOD VILLAGE CHARTER - HERTEL",0.243542937024076,0.00165043601070731
"ELMWOOD VILLAGE CHARTER SCHOOL",0.114883724929404,0.00368679486968946
"EMERSON SCHOOL OF HOSPITALITY",0.754383027314786,0.00393312860263084
"ENTERPRISE CHARTER SCHOOL",0.944885190845452,0.00330908314584599
"FLETCHER ELEMENTARY SCHOOL",0.226681757450397,0.0022170035964725
"FOREST ELEMENTARY SCHOOL",0.128442051259294,0.00425336245545465
"FRANK A SEDITA SCHOOL #30",1.37990027535711,0.00628151019000542
"FREDERICK OLMSTED #156",0.156584736752302,0.00696303351780993
"FRONTIER MIDDLE SCHOOL",0.239022993163315,0.00924572610973347
"FRONTIER SENIOR HIGH SCHOOL",0.279780813819662,0.0113888295863236
"G L PRIESS PRIMARY SCHOOL",0.358189447799052,0.00230732596521768
"GLENDALE ELEMENTARY SCHOOL",0.0517823211872003,0.00320233852823806
"GLOBAL CONCEPTS CHARTER SCHOOL",0.0592110259259032,0.00781699045867341
"GRABIARZ-CAMPUS SCHOOL #79",0.38639316077412,0.00486098566337674
"GRAND ISLAND SENIOR HIGH SCHOOL",0.214319294198534,0.00799763519616376
"GRIFFITH INSTITUTE HIGH SCHOOL",0.325461512433721,0.00458180743270984
"GRIFFITH INSTITUTE MIDDLE SCHOOL",0.371005669666429,0.00327623864812047
"HAMBURG HIGH SCHOOL",0.339998380630836,0.00951669321596899
"HAMBURG MIDDLE SCHOOL",0.290611676723508,0.00633898806102508
"HAROLD O BRUMSTED ELEMENTARY SCHOOL",0.36540875227219,0.00252081520043355
"HARRIET ROSS TUBMAN ACADEMY",0.635969538153223,0.00372785049184635
"HARRIS HILL ELEMENTARY SCHOOL",0.208791462173416,0.00393312860263084
