"entity_name","ls","p"
"QUEST TO LEARN",0.00485685869080485,0.00333267986669281
"SUCCESS ACADEMY CHARTER-HUDSON YARDS",0.00613733731405802,0.00136615369535385
"PS 51 ELIAS HOWE",0.0131443093360541,0.0025240148990394
"SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN",0.0173652071358439,0.0028303273867869
"EAST SIDE COMMUNITY SCHOOL",0.0193934518227339,0.00415359733385611
"HARVEST COLLEGIATE HIGH SCHOOL",0.0215546348790576,0.0028058223877671
"SUCCESS ACADEMY CHARTER SCHOOL-UPPER WEST",0.0258779475569892,0.00483973730641051
"MS 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS",0.0259647399092045,0.0011394824544207
"URBAN ASSEMBLY MAKER ACADEMY",0.026968192368021,0.0023892374044305
"PS 111 ADOLPH S OCHS",0.0274755371073289,0.00221157616153695
"COLUMBIA SECONDARY SCHOOL",0.035144611611018,0.00438639482454421
"ART AND DESIGN HIGH SCHOOL",0.0369998972174055,0.00912811213487551
"ACADEMY FOR SOFTWARE ENGINEERING",0.0370368981570282,0.00281194863752205
"MANHATTAN INTERNATIONAL HIGH SCHOOL",0.0571946156806672,0.00192976867280925
"TOMPKINS SQUARE MIDDLE SCHOOL",0.0604013644288862,0.0022177024112919
"INTERNATIONAL HIGH SCHOOL AT UNION SQUARE",0.0604317134243711,0.00211355616545775
"CENTRAL PARK EAST II",0.0608839953506547,0.0027568123897275
"HAMILTON HEIGHTS SCHOOL",0.0616790395547687,0.000906684963732601
"MOTT HALL II",0.0626299274824407,0.00262816114487355
"PS 110 FLORENCE NIGHTINGALE",0.0646537950810826,0.0020951774161929
"URBAN ASSEMBLY NEW YORK HARBOR SCHOOL",0.0652662667201191,0.00325916486963341
"PS 75 EMILY DICKINSON",0.0690087600846059,0.00338168986473241
"47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE)",0.0707751827445537,0.000863801215447951
"ESSEX STREET ACADEMY",0.0711207068792262,0.00206454616741815
"HS 560 CITY-AS-SCHOOL",0.0715547242614005,0.00318564987257401
"PS 163 ALFRED E SMITH",0.073286343859934,0.0031611448735542
"HIGH SCHOOL OF ECONOMICS & FINANCE",0.0742163309535722,0.00454567731817291
"NEW YORK CENTER FOR AUTISM CHARTER SCHOOL",0.0772684701514556,0.00023892374044305
"LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS",0.0792939784982056,0.00251788864928445
"CITY KNOLL MIDDLE SCHOOL",0.0802034363762047,0.001102724955891
"TALENT UNLIMITED HIGH SCHOOL",0.0806933733839113,0.00319177612232896
"SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE",0.0806947582656859,0.00441089982356401
"UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL",0.0824063592569186,0.00126813369927465
"SCHOOL FOR GLOBAL LEADERS",0.0825259094653199,0.0015438149382474
"PS 191 AMSTERDAM",0.0830212558317458,0.00290996863360125
"HUMANITIES PREPARATORY ACADEMY",0.0846023549613903,0.0014212899431484
"URBAN ACADEMY LABORATORY HIGH SCHOOL",0.0858469863292329,0.000845422466183101
"VANGUARD HIGH SCHOOL",0.0860884086103513,0.0025852773965889
"CENTRAL PARK EAST HIGH SCHOOL",0.0866918974500125,0.00313663987453441
"MURRAY HILL ACADEMY",0.0899254219622747,0.00185625367574985
"URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY",0.0922739476443954,0.0027935698882572
"PS 165 ROBERT E SIMON",0.0928204697351896,0.00243212115271515
"PS 102 JACQUES CARTIER",0.0942408677762641,0.00145192119192315
"MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING",0.0947839632124097,0.0025362673985493
"NYC MUSEUM SCHOOL",0.0948743117450623,0.00276293863948245
"MANHATTAN CENTER FOR SCIENCE & MATHEMATICS",0.0950609595932933,0.0101573220937071
"PS 19 ASHER LEVY",0.095920283135039,0.0014580474416781
"FRANK MCCOURT HIGH SCHOOL",0.098251251215258,0.0025362673985493
"CENTRAL PARK EAST I",0.0997895930933211,0.000937316212507351
"HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICES",0.100289825317631,0.0112110370515585
"UNION SQUARE ACADEMY FOR HEALTH SCIENCES",0.103160440616312,0.0025975298960988
"TEACHERS COLLEGE COMMUNITY SCHOOL",0.107861342989601,0.00179499117820035
"HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",0.108590189111976,0.00703906096843756
"PS 125 RALPH BUNCHE",0.109149803145029,0.00152543618898255
"GRAMERCY ARTS HIGH SCHOOL",0.110984646878018,0.0028670848853166
"PS 171 PATRICK HENRY",0.111126322217993,0.00432513232699471
"MANHATTAN/HUNTER SCIENCE HIGH SCHOOL",0.112731560335014,0.00270167614193295
