"school_name","ls","p"
"ACADEMY OF THE CITY CHARTER SCHOOL",1.89884379619646e-05,0.000341369498012416
"BROOKLYN PROSPECT CHARTER SCHOOL",0.151968248061314,0.000642040442733813
"BROOKLYN URBAN GARDEN CHARTER SCHOOL",0.0061560689346638,0.000237546657984309
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL",0.0637391585783216,0.000348844742494439
"COMMUNITY ROOTS CHARTER SCHOOL",0.330715425600586,0.000392865626666357
"COMPASS CHARTER SCHOOL",0.360551684542295,0.000249174816067457
"ELMWOOD VILLAGE CHARTER - HERTEL",0.00666322887972583,0.000166947126765196
"ELMWOOD VILLAGE CHARTER SCHOOL",0.064513395106943,0.00037293164138096
"GENESEE COMMUNITY CHARTER SCHOOL",0.257772390753696,0.000183558781169693
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL",0.00043589399536911,0.000410307863791079
"HEBREW LANGUAGE ACADEMY CHARTER 2",0.0164514681914697,0.000193525773812391
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL",0.000438121211710068,0.000598019558561896
"HELLENIC CLASSICAL CHARTER SCHOOL",0.0555513862207406,0.000396187957547256
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL",3.85430916815359e-05,0.000234224327103409
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST",0.0416658506048092,0.000421936021874227
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4",0.0106175471015267,0.000455159330683221
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD",0.000927388973817677,0.000534064689104582
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2",0.0412755731415789,0.0002873816211978
"SUCCESS ACADEMY CHARTER SCHOOL-BEDFORD STUYVESANT 1",0.0138276267586393,0.00063124286737089
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1",0.100095117025836,0.000488382639492215
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2",0.0922642975886486,0.000626259371049541
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3",0.0454252834534427,0.000529081192783233
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL",0.0480344603685226,0.000276584045834877
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS",0.0179676578419606,0.000523267113741659
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE",0.0171106135819829,0.000241699571585433
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1",0.0136218030438507,0.001015802666835
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2",0.0408330978876026,0.000587221983198973
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3",0.0113014117977294,0.000921946819449589
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4",0.00409314343074548,0.000352997656095564
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5",0.0386689166916493,0.000619614709287742
"SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN",0.00569276496116761,0.000383729216743883
"SUCCESS ACADEMY CHARTER SCHOOL-NYC 4",0.0352741650433372,0.000338047167131516
"SUCCESS ACADEMY CHARTER SCHOOL-NYC 8",0.00585629166596797,0.000279906376715776
"SUCCESS ACADEMY CHARTER SCHOOL-PROSPECT HEIGHTS",0.000251917653168727,0.000522436531021434
"SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE",0.140863431029574,0.000598019558561896
"SUCCESS ACADEMY CHARTER SCHOOL-UPPER WEST",0.113154172647805,0.000656160348977636
"SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG",0.00837430200379443,0.000360472900577587
