"school_name","ls","p"
"ACADEMY OF THE CITY CHARTER SCHOOL",0.00410373505552608,0.000341369498012416
"BROOKLYN PROSPECT CHARTER SCHOOL",0.0719174151499253,0.000642040442733813
"BROOKLYN URBAN GARDEN CHARTER SCHOOL",0.0464318095772721,0.000237546657984309
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL",0.00638822145955141,0.000348844742494439
"COMMUNITY ROOTS CHARTER SCHOOL",0.0866632540252544,0.000392865626666357
"COMPASS CHARTER SCHOOL",0.0583527846734433,0.000249174816067457
"ELMWOOD VILLAGE CHARTER - HERTEL",0.0335020764217333,0.000166947126765196
"ELMWOOD VILLAGE CHARTER SCHOOL",0.0848928139580564,0.00037293164138096
"GENESEE COMMUNITY CHARTER SCHOOL",0.1009994124015,0.000183558781169693
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL",0.0105131571784722,0.000410307863791079
"HEBREW LANGUAGE ACADEMY CHARTER 2",0.0450123303012797,0.000193525773812391
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL",0.0318660141378657,0.000598019558561896
"HELLENIC CLASSICAL CHARTER SCHOOL",0.066249029381946,0.000396187957547256
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL",0.0334596016276986,0.000234224327103409
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST",0.00436273047724906,0.000421936021874227
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4",0.0359024499494676,0.000455159330683221
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD",0.120041602854012,0.000534064689104582
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2",0.0874562347746402,0.0002873816211978
"SUCCESS ACADEMY CHARTER SCHOOL-BEDFORD STUYVESANT 1",0.0788780915457992,0.00063124286737089
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1",0.0339425474205903,0.000488382639492215
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2",0.0193109028500871,0.000626259371049541
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3",0.0690768771066881,0.000529081192783233
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL",0.0321989659235862,0.000276584045834877
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS",0.0997022474032399,0.000523267113741659
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE",0.0254482228033905,0.000241699571585433
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1",0.0814753274986732,0.001015802666835
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2",0.0525222494976482,0.000587221983198973
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3",0.0693001645111538,0.000921946819449589
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4",0.0213541123854633,0.000352997656095564
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5",0.0272830152404825,0.000619614709287742
"SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN",0.0405287134517424,0.000383729216743883
"SUCCESS ACADEMY CHARTER SCHOOL-NYC 4",0.0867927737936749,0.000338047167131516
"SUCCESS ACADEMY CHARTER SCHOOL-NYC 8",0.0636271157280089,0.000279906376715776
"SUCCESS ACADEMY CHARTER SCHOOL-PROSPECT HEIGHTS",0.0954808999628811,0.000522436531021434
"SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE",0.0641565716702836,0.000598019558561896
"SUCCESS ACADEMY CHARTER SCHOOL-UPPER WEST",0.0597332544930456,0.000656160348977636
"SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG",0.0206152089775573,0.000360472900577587
