"school_name","ls","p"
"ACADEMY OF THE CITY CHARTER SCHOOL",0.164048030122299,0.000341369498012416
"BROOKLYN PROSPECT CHARTER SCHOOL",0.164219121553133,0.000642040442733813
"BROOKLYN URBAN GARDEN CHARTER SCHOOL",0.136226016151767,0.000237546657984309
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL",0.296125031614754,0.000348844742494439
"COMMUNITY ROOTS CHARTER SCHOOL",0.243931249908322,0.000392865626666357
"COMPASS CHARTER SCHOOL",0.288327655571243,0.000249174816067457
"ELMWOOD VILLAGE CHARTER - HERTEL",0.265433432665823,0.000166947126765196
"ELMWOOD VILLAGE CHARTER SCHOOL",0.343626148901016,0.00037293164138096
"GENESEE COMMUNITY CHARTER SCHOOL",0.46274004478375,0.000183558781169693
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL",0.15488638001038,0.000410307863791079
"HEBREW LANGUAGE ACADEMY CHARTER 2",0.381195718179826,0.000193525773812391
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL",0.486113058132995,0.000598019558561896
"HELLENIC CLASSICAL CHARTER SCHOOL",0.121620937914882,0.000396187957547256
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL",0.370900501103077,0.000234224327103409
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST",0.379077739856025,0.000421936021874227
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4",0.315473810652878,0.000455159330683221
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD",0.97750859014433,0.000534064689104582
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2",0.468123181990555,0.0002873816211978
"SUCCESS ACADEMY CHARTER SCHOOL-BEDFORD STUYVESANT 1",0.483848790159736,0.00063124286737089
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1",0.424808363489789,0.000488382639492215
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2",0.488922565654912,0.000626259371049541
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3",0.442675058917796,0.000529081192783233
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL",0.0423125852954058,0.000276584045834877
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS",0.925372588047297,0.000523267113741659
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE",0.409418655440673,0.000241699571585433
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1",0.627396535126683,0.001015802666835
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2",0.500226288760524,0.000587221983198973
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3",0.5077504707533,0.000921946819449589
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4",0.33072251839118,0.000352997656095564
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5",0.515613221060832,0.000619614709287742
"SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN",0.0333946038999425,0.000383729216743883
"SUCCESS ACADEMY CHARTER SCHOOL-NYC 4",0.638243016574007,0.000338047167131516
"SUCCESS ACADEMY CHARTER SCHOOL-NYC 8",0.965397282488445,0.000279906376715776
"SUCCESS ACADEMY CHARTER SCHOOL-PROSPECT HEIGHTS",0.580589894691889,0.000522436531021434
"SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE",0.0383846443029589,0.000598019558561896
"SUCCESS ACADEMY CHARTER SCHOOL-UPPER WEST",0.0173439541060018,0.000656160348977636
"SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG",0.114195646702091,0.000360472900577587
