"school_name","ls","p"
"ACADEMY OF THE CITY CHARTER SCHOOL",0.015775965312394,0.000341369498012416
"BROOKLYN PROSPECT CHARTER SCHOOL",0.00088695767295752,0.000642040442733813
"BROOKLYN URBAN GARDEN CHARTER SCHOOL",0.0169341530446298,0.000237546657984309
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL",0.0384516197241229,0.000348844742494439
"COMMUNITY ROOTS CHARTER SCHOOL",0.00850633260946703,0.000392865626666357
"COMPASS CHARTER SCHOOL",0.0203629490790435,0.000249174816067457
"ELMWOOD VILLAGE CHARTER - HERTEL",0.00176212588520947,0.000166947126765196
"ELMWOOD VILLAGE CHARTER SCHOOL",0.00648157414688307,0.00037293164138096
"GENESEE COMMUNITY CHARTER SCHOOL",0.0311395400121594,0.000183558781169693
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL",0.00609718821546067,0.000410307863791079
"HEBREW LANGUAGE ACADEMY CHARTER 2",0.037554192528813,0.000193525773812391
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL",9.9561983965042e-05,0.000598019558561896
"HELLENIC CLASSICAL CHARTER SCHOOL",0.0258784028660858,0.000396187957547256
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL",0.0124032388945735,0.000234224327103409
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST",0.00412443830010027,0.000421936021874227
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4",0.000806742542211178,0.000455159330683221
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD",0.0100425689285041,0.000534064689104582
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2",0.00175369034240296,0.0002873816211978
"SUCCESS ACADEMY CHARTER SCHOOL-BEDFORD STUYVESANT 1",1.0856056633956e-05,0.00063124286737089
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1",0.00389609593257669,0.000488382639492215
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2",0.0060110513091565,0.000626259371049541
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3",0.000691292283305363,0.000529081192783233
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL",0.00472069741283095,0.000276584045834877
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS",0.00536008880919702,0.000523267113741659
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE",1.51789728755616e-05,0.000241699571585433
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1",0.00861578352534205,0.001015802666835
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2",1.41099230640189e-05,0.000587221983198973
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3",0.000361421776200594,0.000921946819449589
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4",0.00541780269931309,0.000352997656095564
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5",0.0041282988715769,0.000619614709287742
"SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN",0.00186995449510418,0.000383729216743883
"SUCCESS ACADEMY CHARTER SCHOOL-NYC 4",0.00040117533541866,0.000338047167131516
"SUCCESS ACADEMY CHARTER SCHOOL-NYC 8",0.0301371204080038,0.000279906376715776
"SUCCESS ACADEMY CHARTER SCHOOL-PROSPECT HEIGHTS",0.00266969405866086,0.000522436531021434
"SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE",4.5279776950319e-11,0.000598019558561896
"SUCCESS ACADEMY CHARTER SCHOOL-UPPER WEST",1.46957952077737e-05,0.000656160348977636
"SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG",0.000366509886351564,0.000360472900577587
