"district","H","M"
"2",0.243629599550316,0.361378479849443
"3",0.20436979137954,0.297315723922448
"4",0.12479078863961,0.138767396427685
"5",0.129377640045082,0.130046702167575
"6",0.162537441270314,0.0935851120044111
"7",0.0457887109436896,0.0361235288875701
"8",0.104317623774752,0.10548631835244
"9",0.0695529837890309,0.0552812749551312
"13",0.262307859521253,0.362623272993676
"14",0.200794185336784,0.230681541647949
"15",0.258458713014772,0.371753136138475
"16",0.0572902673907644,0.0461859254533044
"17",0.0835075187670044,0.0645058732759724
"21",0.1239142348337,0.178166152634754
"22",0.172326453220424,0.246480860224658
"24",0.194958950784968,0.203350948170303
"27",0.222340405925038,0.323144524100443
"29",0.206230099783068,0.225172674450514
"30",0.128986233035923,0.161236572130826
"32",0.103454385100324,0.0748874279243411
"RCSD",0.103480038484348,0.10730058339324
"BCSD",0.165749304103094,0.226321358060595
