"school","district","county","ls_district","p_district","ls_county","p_county"
"ACADEMY OF THE CITY CHARTER SCHOOL","30","NYC",0.0205198440825978,0.0100933202357564,0.148893768555189,0.000669368025380612
"BROOKLYN PROSPECT CHARTER SCHOOL","15","NYC",0.0582791031138893,0.0232852366177667,0.287563027935397,0.0012589330501684
"BROOKLYN PROSPECT CHARTER-CSD 13","13","NYC",0.209898530551231,0.0265913056672483,0.35192110477328,0.00114167149827691
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","15","NYC",0.223920225294879,0.00861523631653463,0.111570596581528,0.000465788942235657
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","24","NYC",0.122911880296772,0.00746759596749818,0.193175251240869,0.000684025719367048
"COMMUNITY ROOTS CHARTER SCHOOL","13","NYC",0.317580720177886,0.017942492982323,0.397544558106559,0.000770343250620509
"COMPASS CHARTER SCHOOL","13","NYC",0.31969010489871,0.0113800166906911,0.460660328850668,0.000488589799547892
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","3","NYC",0.123041569311092,0.0190380761523046,0.144094225850365,0.000804544536588861
"HEBREW LANGUAGE ACADEMY CHARTER 2","21","NYC",0.278233735942815,0.00654035087719298,0.611838309011541,0.000379471410982196
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","22","NYC",0.258142521886425,0.0201122936394871,0.602310871357613,0.00117261551891494
"HELLENIC CLASSICAL CHARTER SCHOOL","15","NYC",0.0894929994565696,0.0143687682621924,0.169547638485991,0.000776857781281148
"INTERNATIONAL CHARTER SCHOOL OF NY","13","NYC",0.231325577295818,0.0130111524163569,0.316514227909968,0.000558621004149756
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","3","NYC",0.321869225595805,0.0108678896254047,0.339641443494651,0.000459274411575018
"SUCCESS ACADEMY CHARTER SCH-NYC 10","32","NYC",0.0294115662534015,0.0264388075714614,0.245512413396733,0.000561878269480075
"SUCCESS ACADEMY CHARTER SCH-NYC 13","27","NYC",0.384198334519331,0.0070878062207542,0.402901042554734,0.000503247493534328
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","21","NYC",0.159239161741229,0.014259649122807,0.623278666400777,0.000827345393901096
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","8","NYC",0.114236410286424,0.0179866741064102,0.204614531497421,0.000892490700507482
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD","29","NYC",0.198918687655586,0.023675393055709,0.916787251538949,0.00104721080369765
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","14","NYC",0.413815146423115,0.0167052916183855,0.38586743847432,0.000563506902145235
"SUCCESS ACADEMY CHARTER SCHOOL-BEDFORD STUYVESANT 1","14","NYC",0.424988245780766,0.0366937041328698,0.402553977858412,0.00123776082552133
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","7","NYC",0.18400009491358,0.0219607843137255,0.318979437094208,0.000957636007113867
