"dist","school","year","total","race","count"
2,"P.S. 001 Alfred E. Smith","2018-19",295,"n_asian",147
2,"P.S. 002 Meyer London","2018-19",483,"n_asian",367
2,"P.S. 003 Charrette School","2018-19",731,"n_asian",69
2,"P.S. 006 Lillie D. Blake","2018-19",671,"n_asian",115
2,"P.S. 011 William T. Harris","2018-19",888,"n_asian",137
2,"P.S. 033 Chelsea Prep","2018-19",632,"n_asian",149
2,"P.S. 040 Augustus Saint-Gaudens","2018-19",708,"n_asian",86
2,"P.S. 041 Greenwich Village","2018-19",694,"n_asian",51
2,"P.S. 042 Benjamin Altman","2018-19",574,"n_asian",497
2,"47 The American Sign Language and English Secondar","2018-19",196,"n_asian",6
2,"P.S. 051 Elias Howe","2018-19",481,"n_asian",62
2,"P.S. 059 Beekman Hill International","2018-19",598,"n_asian",119
2,"P.S. 77 Lower Lab School","2018-19",360,"n_asian",118
2,"P.S. 89","2018-19",456,"n_asian",87
2,"J.H.S. 104 Simon Baruch","2018-19",1116,"n_asian",389
2,"P.S. 111 Adolph S. Ochs","2018-19",413,"n_asian",65
2,"East Side Middle School","2018-19",451,"n_asian",63
2,"P.S. 116 Mary Lindley Murray","2018-19",504,"n_asian",112
2,"P.S. 124 Yung Wing","2018-19",675,"n_asian",631
2,"P.S. 126 Jacob August Riis","2018-19",712,"n_asian",458
2,"P.S. 130 Hernando De Soto","2018-19",858,"n_asian",749
2,"M.S. 131","2018-19",401,"n_asian",320
2,"The Urban Assembly School for Emergency Management","2018-19",265,"n_asian",15
2,"Stephen T. Mather Building Arts & Craftsmanship Hi","2018-19",401,"n_asian",17
2,"P.S. 150","2018-19",189,"n_asian",39
2,"Yorkville Community School","2018-19",486,"n_asian",32
2,"P.S. 158 Bayard Taylor","2018-19",796,"n_asian",103
2,"J.H.S. 167 Robert F. Wagner","2018-19",1379,"n_asian",251
2,"Yorkville East Middle School","2018-19",230,"n_asian",15
2,"P.S. 183 Robert L. Stevenson","2018-19",554,"n_asian",88
2,"P.S. 198 Isador E. Ida Straus","2018-19",488,"n_asian",111
2,"P.S. 212 Midtown West","2018-19",363,"n_asian",60
2,"P.S./I.S. 217 Roosevelt Island","2018-19",617,"n_asian",179
2,"Ella Baker School","2018-19",324,"n_asian",19
2,"P.S. 234 Independence School","2018-19",638,"n_asian",56
2,"M.S. 255 Salk School of Science","2018-19",394,"n_asian",72
2,"The Clinton School","2018-19",726,"n_asian",92
2,"East Side Elementary School, PS 267","2018-19",414,"n_asian",52
2,"Battery Park City School","2018-19",849,"n_asian",172
2,"Manhattan Early College School for Advertising","2018-19",416,"n_asian",41
2,"The River School","2018-19",338,"n_asian",110
2,"Urban Assembly Maker Academy","2018-19",390,"n_asian",32
2,"Food and Finance High School","2018-19",375,"n_asian",21
2,"I.S. 289","2018-19",284,"n_asian",138
2,"P.S. 290 Manhattan New School","2018-19",595,"n_asian",65
2,"Essex Street Academy","2018-19",339,"n_asian",22
2,"High School of Hospitality Management","2018-19",380,"n_asian",19
2,"M.S. 297","2018-19",561,"n_asian",48
2,"Pace High School","2018-19",572,"n_asian",26
2,"Urban Assembly School of Design and Construction,","2018-19",302,"n_asian",17
