"dist","school","year","total","race","count"
2,"P.S. 001 Alfred E. Smith","2019-20",247,"n_asian",112
2,"P.S. 002 Meyer London","2019-20",449,"n_asian",316
2,"P.S. 003 Charrette School","2019-20",714,"n_asian",62
2,"P.S. 006 Lillie D. Blake","2019-20",648,"n_asian",126
2,"P.S. 011 William T. Harris","2019-20",900,"n_asian",143
2,"P.S. 033 Chelsea Prep","2019-20",612,"n_asian",148
2,"P.S. 040 Augustus Saint-Gaudens","2019-20",700,"n_asian",98
2,"P.S. 041 Greenwich Village","2019-20",668,"n_asian",50
2,"P.S. 042 Benjamin Altman","2019-20",557,"n_asian",468
2,"47 The American Sign Language and English Secondar","2019-20",232,"n_asian",6
2,"P.S. 051 Elias Howe","2019-20",488,"n_asian",71
2,"P.S. 059 Beekman Hill International","2019-20",638,"n_asian",139
2,"P.S. 77 Lower Lab School","2019-20",362,"n_asian",139
2,"P.S. 89","2019-20",454,"n_asian",89
2,"J.H.S. 104 Simon Baruch","2019-20",1101,"n_asian",393
2,"P.S. 111 Adolph S. Ochs","2019-20",438,"n_asian",59
2,"East Side Middle School","2019-20",457,"n_asian",73
2,"P.S. 116 Mary Lindley Murray","2019-20",500,"n_asian",110
2,"P.S. 124 Yung Wing","2019-20",676,"n_asian",625
2,"P.S. 126 Jacob August Riis","2019-20",714,"n_asian",470
2,"P.S. 130 Hernando De Soto","2019-20",796,"n_asian",696
2,"M.S. 131","2019-20",304,"n_asian",223
2,"The Urban Assembly School for Emergency Management","2019-20",256,"n_asian",12
2,"Stephen T. Mather Building Arts & Craftsmanship Hi","2019-20",416,"n_asian",16
2,"P.S. 150","2019-20",190,"n_asian",56
2,"Yorkville Community School","2019-20",475,"n_asian",34
2,"P.S. 158 Bayard Taylor","2019-20",804,"n_asian",103
2,"J.H.S. 167 Robert F. Wagner","2019-20",1346,"n_asian",249
2,"Yorkville East Middle School","2019-20",227,"n_asian",17
2,"P.S. 183 Robert L. Stevenson","2019-20",604,"n_asian",96
2,"P.S. 198 Isador E. Ida Straus","2019-20",491,"n_asian",93
2,"P.S. 212 Midtown West","2019-20",370,"n_asian",56
2,"P.S./I.S. 217 Roosevelt Island","2019-20",640,"n_asian",203
2,"Ella Baker School","2019-20",332,"n_asian",26
2,"P.S. 234 Independence School","2019-20",638,"n_asian",51
