"school_name","grade","subject","n_tested","school_mean","nys_mean","sd","z_score"
"ACADEMY OF THE CITY CHARTER SCHOOL","3","ELA",50,606,600,8.93549570747314,0.671479254920569
"ACADEMY OF THE CITY CHARTER SCHOOL","3","Math",49,612,600,9.56336548656681,1.2547883918957
"ACADEMY OF THE CITY CHARTER SCHOOL","4","ELA",76,605,599,9.0234455676591,0.664934470431626
"ACADEMY OF THE CITY CHARTER SCHOOL","4","Math",74,608,600,10.3950780607035,0.769594990367831
"ACADEMY OF THE CITY CHARTER SCHOOL","5","ELA",103,606,599,9.31679134957118,0.751331626668036
"ACADEMY OF THE CITY CHARTER SCHOOL","5","Math",103,612,600,10.5199311573998,1.14069187530368
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","3","ELA",54,616,600,8.93549570747314,1.79061134645485
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","3","Math",53,619,600,9.56336548656681,1.98674828716819
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","4","ELA",51,609,599,9.0234455676591,1.10822411738604
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","4","Math",53,607,600,10.3950780607035,0.673395616571852
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","5","ELA",74,615,599,9.31679134957118,1.71732943238408
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","5","Math",73,617,600,10.5199311573998,1.61598015668022
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","6","ELA",118,607,598,10.1228499667514,0.889077683612873
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","6","Math",119,610,600,10.2858259807726,0.972211664740695
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","7","ELA",102,611,600,9.83761226983842,1.1181575059352
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","7","Math",103,614,601,10.6493744935478,1.22072897407039
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","8","ELA",95,607,600,9.19627210164209,0.76117799937108
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","8","Math",63,610,599,10.9670039364004,1.00300866706996
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","6","ELA",105,601,598,10.1228499667514,0.296359227870958
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","6","Math",104,604,600,10.2858259807726,0.388884665896278
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","7","ELA",106,609,600,9.83761226983842,0.914856141219705
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","7","Math",106,611,601,10.6493744935478,0.939022287746458
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","8","ELA",97,610,600,9.19627210164209,1.08739714195869
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","8","Math",95,616,599,10.9670039364004,1.55010430365357
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","6","ELA",88,596,598,10.1228499667514,-0.197572818580639
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","6","Math",88,597,600,10.2858259807726,-0.291663499422208
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","7","ELA",88,605,600,9.83761226983842,0.508253411788725
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","7","Math",89,605,601,10.6493744935478,0.375608915098583
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","8","ELA",65,600,600,9.19627210164209,0
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","8","Math",35,583,599,10.9670039364004,-1.4589216975563
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","5","ELA",109,604,599,9.31679134957118,0.536665447620026
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","5","Math",109,607,600,10.5199311573998,0.665403593927149
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","6","ELA",103,610,598,10.1228499667514,1.18543691148383
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","6","Math",103,611,600,10.2858259807726,1.06943283121476
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","7","ELA",100,615,600,9.83761226983842,1.52476023536618
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","7","Math",100,617,601,10.6493744935478,1.50243566039433
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","8","ELA",100,613,600,9.19627210164209,1.41361628454629
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","8","Math",100,620,599,10.9670039364004,1.91483472804265
"COMMUNITY ROOTS CHARTER SCHOOL","3","ELA",50,607,600,8.93549570747314,0.783392464073997
"COMMUNITY ROOTS CHARTER SCHOOL","3","Math",50,606,600,9.56336548656681,0.627394195947849
"COMMUNITY ROOTS CHARTER SCHOOL","4","ELA",47,609,599,9.0234455676591,1.10822411738604
"COMMUNITY ROOTS CHARTER SCHOOL","4","Math",50,610,600,10.3950780607035,0.961993737959789
"COMMUNITY ROOTS CHARTER SCHOOL","5","ELA",52,605,599,9.31679134957118,0.643998537144031
"COMMUNITY ROOTS CHARTER SCHOOL","5","Math",52,605,600,10.5199311573998,0.475288281376535
"COMMUNITY ROOTS CHARTER SCHOOL","6","ELA",51,604,598,10.1228499667514,0.592718455741916
"COMMUNITY ROOTS CHARTER SCHOOL","6","Math",51,599,600,10.2858259807726,-0.0972211664740695
"COMMUNITY ROOTS CHARTER SCHOOL","7","ELA",45,613,600,9.83761226983842,1.32145887065069
"COMMUNITY ROOTS CHARTER SCHOOL","7","Math",44,609,601,10.6493744935478,0.751217830197166
"COMMUNITY ROOTS CHARTER SCHOOL","8","ELA",34,604,600,9.19627210164209,0.434958856783474
"COMMUNITY ROOTS CHARTER SCHOOL","8","Math",30,607,599,10.9670039364004,0.729460848778152
"COMPASS CHARTER SCHOOL","3","ELA",44,597,600,8.93549570747314,-0.335739627460284
"COMPASS CHARTER SCHOOL","3","Math",44,597,600,9.56336548656681,-0.313697097973925
"COMPASS CHARTER SCHOOL","4","ELA",41,595,599,9.0234455676591,-0.443289646954417
"COMPASS CHARTER SCHOOL","4","Math",40,597,600,10.3950780607035,-0.288598121387937
"COMPASS CHARTER SCHOOL","5","ELA",30,597,599,9.31679134957118,-0.21466617904801
