"school_name","subject","n_students","min_grade","max_grade","z_wgt"
"ACADEMY OF THE CITY CHARTER SCHOOL","both math and ELA",455,"3","5",0.873455085037424
"ACADEMY OF THE CITY CHARTER SCHOOL","ELA",229,"3","5",0.705223318976592
"ACADEMY OF THE CITY CHARTER SCHOOL","Math",226,"3","5",1.04392001613446
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","both math and ELA",958,"3","8",1.18490809989385
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","ELA",494,"3","8",1.15702421640412
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Math",464,"3","8",1.21459482067819
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","both math and ELA",613,"6","8",0.849608922132396
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","ELA",308,"6","8",0.758344132031597
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","Math",305,"6","8",0.941771398693203
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","both math and ELA",453,"6","8",-0.0352308205685199
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","ELA",241,"6","8",0.113443536109177
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","Math",212,"6","8",-0.204242707169109
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","both math and ELA",824,"5","8",1.21218665031741
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","ELA",412,"5","8",1.15153929044821
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","Math",412,"5","8",1.2728340101866
"COMMUNITY ROOTS CHARTER SCHOOL","both math and ELA",556,"3","8",0.689551241068155
"COMMUNITY ROOTS CHARTER SCHOOL","ELA",279,"3","8",0.821602050914301
"COMMUNITY ROOTS CHARTER SCHOOL","Math",277,"3","8",0.556546995771856
"COMPASS CHARTER SCHOOL","both math and ELA",228,"3","5",-0.3927370612239
"COMPASS CHARTER SCHOOL","ELA",115,"3","5",-0.342499169607164
"COMPASS CHARTER SCHOOL","Math",113,"3","5",-0.443864119063941
"ELMWOOD VILLAGE CHARTER SCHOOL","both math and ELA",570,"3","8",0.338035559825822
"ELMWOOD VILLAGE CHARTER SCHOOL","ELA",285,"3","8",0.250591247617327
"ELMWOOD VILLAGE CHARTER SCHOOL","Math",285,"3","8",0.425479872034316
"ELMWOOD VILLAGE CHARTER - HERTEL","both math and ELA",100,"3","3",-0.212805153563676
"ELMWOOD VILLAGE CHARTER - HERTEL","ELA",50,"3","3",-0.111913209153428
"ELMWOOD VILLAGE CHARTER - HERTEL","Math",50,"3","3",-0.313697097973925
"GENESEE COMMUNITY CHARTER SCHOOL","both math and ELA",212,"3","6",0.673180789913531
"GENESEE COMMUNITY CHARTER SCHOOL","ELA",105,"3","6",0.655931776225141
"GENESEE COMMUNITY CHARTER SCHOOL","Math",107,"3","6",0.690107392131109
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","both math and ELA",557,"3","6",-0.228879599911696
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","ELA",280,"3","6",-0.13997482936744
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Math",277,"3","6",-0.318747238006974
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","both math and ELA",832,"3","8",0.237682282092042
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","ELA",427,"3","8",0.144754560441497
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Math",405,"3","8",0.335657929363112
"HELLENIC CLASSICAL CHARTER SCHOOL","both math and ELA",634,"3","8",1.36248488162636
"HELLENIC CLASSICAL CHARTER SCHOOL","ELA",317,"3","8",1.04252277714386
"HELLENIC CLASSICAL CHARTER SCHOOL","Math",317,"3","8",1.68244698610885
"INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE)","both math and ELA",190,"3","4",0.13586091608895
