"school_name","county","total","n_amind","n_asian","n_black","n_hisp","n_white","n_multi","n_ed","n_ell","n_swd"
"30TH AVENUE SCHOOL (THE)","QUEENS",512,6,239,24,52,154,37,131,9,31
"47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE)","NEW YORK",141,0,4,38,74,21,4,118,39,80
"A D OLIVER MIDDLE SCHOOL","MONROE",773,0,13,32,78,603,47,377,10,137
"A J SCHMIDT ELEMENTARY SCHOOL","ERIE",288,27,1,0,18,225,17,157,0,40
"A M COSGROVE MIDDLE SCHOOL","MONROE",828,1,16,43,61,664,43,291,24,116
"A PHILIP RANDOLPH CAMPUS HIGH SCHOOL","NEW YORK",1519,10,81,424,962,35,7,1321,217,240
"ABRAHAM LINCOLN HIGH SCHOOL","KINGS",1913,14,290,806,467,330,6,1524,325,322
"ACAD FOR COLLEGE PREP & CAREER EXPLORATION: A COLLEGE BOARD SCH","KINGS",358,14,1,273,58,8,4,303,58,73
"ACADEMIC LEADERSHIP CHARTER SCHOOL","BRONX",524,4,2,260,248,7,3,498,58,56
"ACADEMY FOR CAREERS IN TELEVISION AND FILM","QUEENS",563,2,40,66,316,105,34,326,9,123
"ACADEMY FOR CONSERVATION AND THE ENVIRONMENT","KINGS",300,5,18,228,28,19,2,246,36,57
"ACADEMY FOR ENVIRONMENTAL LEADERSHIP","KINGS",232,0,9,35,177,10,1,212,99,47
"ACADEMY FOR EXCELLENCE THROUGH THE ARTS (THE)","QUEENS",173,0,58,12,33,65,5,45,3,30
"ACADEMY FOR HEALTH CAREERS","KINGS",301,2,13,227,47,5,7,256,12,44
"ACADEMY FOR LANGUAGE AND TECHNOLOGY","BRONX",318,0,0,0,318,0,0,318,230,22
"ACADEMY FOR NEW AMERICANS","QUEENS",109,0,18,2,72,17,0,102,108,3
"ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE","BRONX",586,5,11,63,499,7,1,540,184,165
"ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP","BRONX",367,6,6,234,113,7,1,283,19,88
"ACADEMY FOR SOFTWARE ENGINEERING","NEW YORK",459,2,48,97,258,49,5,312,19,120
"ACADEMY FOR YOUNG WRITERS","KINGS",553,3,6,383,153,6,2,474,19,127
"ACADEMY OF AMERICAN STUDIES","QUEENS",1004,0,265,42,349,345,3,637,25,84
"ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY","BRONX",310,1,6,88,211,3,1,289,36,86
"ACADEMY OF ARTS AND LETTERS","KINGS",526,6,31,156,81,208,44,123,3,118
"ACADEMY OF FINANCE AND ENTERPRISE","QUEENS",647,8,164,28,329,99,19,522,35,86
"ACADEMY OF HOSPITALITY AND TOURISM","KINGS",188,1,1,151,28,7,0,176,36,40
"ACADEMY OF INNOVATIVE TECHNOLOGY","KINGS",427,6,27,169,207,10,8,360,49,88
"ACADEMY OF PUBLIC RELATIONS","BRONX",262,2,0,61,195,3,1,239,75,86
"ACADEMY OF TALENTED SCHOLARS (THE)","KINGS",388,0,91,16,45,229,7,165,30,119
"ACADEMY OF THE CITY CHARTER SCHOOL","QUEENS",411,1,92,33,218,67,0,291,40,51
"ACADEMY OF URBAN PLANNING","KINGS",232,0,1,53,173,3,2,229,54,64
"ACADEY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL","QUEENS",621,10,39,259,283,25,5,517,103,101
"ACCION ACADEMY","BRONX",396,2,4,74,310,6,0,382,118,95
"ACE ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS","QUEENS",553,3,91,17,266,159,17,351,55,64
"ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL","KINGS",865,13,52,499,291,7,3,693,63,103
"ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL","KINGS",638,10,12,469,138,3,6,519,22,85
"ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL","KINGS",1097,7,11,930,136,9,4,876,35,145
"ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL","KINGS",913,1,11,240,644,14,3,791,115,217
"ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL","KINGS",1287,11,2,1186,74,5,9,1009,6,208
"ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL","KINGS",1098,8,8,734,335,7,6,913,25,131
"ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL","KINGS",804,2,9,667,107,10,9,598,8,121
