"school_name","county","total","n_ed","n_ell","n_swd","race","count"
"30TH AVENUE SCHOOL (THE)","QUEENS",512,131,9,31,"amind",6
"47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE)","NEW YORK",141,118,39,80,"amind",0
"A D OLIVER MIDDLE SCHOOL","MONROE",773,377,10,137,"amind",0
"A J SCHMIDT ELEMENTARY SCHOOL","ERIE",288,157,0,40,"amind",27
"A M COSGROVE MIDDLE SCHOOL","MONROE",828,291,24,116,"amind",1
"A PHILIP RANDOLPH CAMPUS HIGH SCHOOL","NEW YORK",1519,1321,217,240,"amind",10
"ABRAHAM LINCOLN HIGH SCHOOL","KINGS",1913,1524,325,322,"amind",14
"ACAD FOR COLLEGE PREP & CAREER EXPLORATION: A COLLEGE BOARD SCH","KINGS",358,303,58,73,"amind",14
"ACADEMIC LEADERSHIP CHARTER SCHOOL","BRONX",524,498,58,56,"amind",4
"ACADEMY FOR CAREERS IN TELEVISION AND FILM","QUEENS",563,326,9,123,"amind",2
"ACADEMY FOR CONSERVATION AND THE ENVIRONMENT","KINGS",300,246,36,57,"amind",5
"ACADEMY FOR ENVIRONMENTAL LEADERSHIP","KINGS",232,212,99,47,"amind",0
"ACADEMY FOR EXCELLENCE THROUGH THE ARTS (THE)","QUEENS",173,45,3,30,"amind",0
"ACADEMY FOR HEALTH CAREERS","KINGS",301,256,12,44,"amind",2
"ACADEMY FOR LANGUAGE AND TECHNOLOGY","BRONX",318,318,230,22,"amind",0
"ACADEMY FOR NEW AMERICANS","QUEENS",109,102,108,3,"amind",0
"ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE","BRONX",586,540,184,165,"amind",5
"ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP","BRONX",367,283,19,88,"amind",6
"ACADEMY FOR SOFTWARE ENGINEERING","NEW YORK",459,312,19,120,"amind",2
"ACADEMY FOR YOUNG WRITERS","KINGS",553,474,19,127,"amind",3
"ACADEMY OF AMERICAN STUDIES","QUEENS",1004,637,25,84,"amind",0
"ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY","BRONX",310,289,36,86,"amind",1
"ACADEMY OF ARTS AND LETTERS","KINGS",526,123,3,118,"amind",6
"ACADEMY OF FINANCE AND ENTERPRISE","QUEENS",647,522,35,86,"amind",8
"ACADEMY OF HOSPITALITY AND TOURISM","KINGS",188,176,36,40,"amind",1
"ACADEMY OF INNOVATIVE TECHNOLOGY","KINGS",427,360,49,88,"amind",6
"ACADEMY OF PUBLIC RELATIONS","BRONX",262,239,75,86,"amind",2
"ACADEMY OF TALENTED SCHOLARS (THE)","KINGS",388,165,30,119,"amind",0
"ACADEMY OF THE CITY CHARTER SCHOOL","QUEENS",411,291,40,51,"amind",1
"ACADEMY OF URBAN PLANNING","KINGS",232,229,54,64,"amind",0
"ACADEY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL","QUEENS",621,517,103,101,"amind",10
"ACCION ACADEMY","BRONX",396,382,118,95,"amind",2
"ACE ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS","QUEENS",553,351,55,64,"amind",3
"ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL","KINGS",865,693,63,103,"amind",13
"ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL","KINGS",638,519,22,85,"amind",10
"ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL","KINGS",1097,876,35,145,"amind",7
"ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL","KINGS",913,791,115,217,"amind",1
"ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL","KINGS",1287,1009,6,208,"amind",11
"ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL","KINGS",1098,913,25,131,"amind",8
"ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL","KINGS",804,598,8,121,"amind",2
"ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL","KINGS",562,477,6,76,"amind",4
"ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL","KINGS",533,471,79,83,"amind",3
"ACHIEVEMENT FIRST VOYAGER CHARTER","KINGS",242,183,2,32,"amind",6
"ACORN COMMUNITY HIGH SCHOOL","KINGS",152,132,8,42,"amind",2
"ACTIVE LEARNING ELEMENTARY SCHOOL (THE)","QUEENS",418,329,235,52,"amind",1
"AKRON ELEMENTARY SCHOOL","ERIE",547,267,3,74,"amind",72
"AKRON HIGH SCHOOL","ERIE",442,151,0,52,"amind",47
"AKRON MIDDLE SCHOOL","ERIE",342,161,0,39,"amind",43
"ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS","QUEENS",688,584,55,124,"amind",5
"ALDEN INTERMEDIATE SCHOOL","ERIE",339,98,3,37,"amind",2
"ALDEN MIDDLE SCHOOL","ERIE",379,112,0,44,"amind",4
"ALDEN PRIMARY AT TOWNLINE","ERIE",333,101,1,32,"amind",0
"ALDEN SENIOR HIGH SCHOOL","ERIE",511,149,1,76,"amind",1
"ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL","BRONX",460,425,88,126,"amind",4
"ALL CITY LEADERSHIP SECONDARY SCHOOL","KINGS",432,351,11,51,"amind",1
"ALLEN CREEK SCHOOL","MONROE",372,25,16,29,"amind",0
"ALLENDALE ELEMENTARY SCHOOL","ERIE",516,205,0,86,"amind",1
"ALOMA D JOHNSON CHARTER SCHOOL","ERIE",259,225,3,5,"amind",2
"ALTERNATIVE HIGH SCHOOL AT 44","ERIE",141,129,7,43,"amind",1
"AMBER CHARTER SCHOOL","NEW YORK",526,438,33,99,"amind",1
"AMBER CHARTER SCHOOL II","BRONX",357,276,39,39,"amind",1
"AMERICAN DREAM CHARTER SCHOOL","BRONX",424,410,82,70,"amind",0
"AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL","NEW YORK",198,174,9,55,"amind",0
"AMHERST CENTRAL HIGH SCHOOL","ERIE",861,273,22,105,"amind",1
"AMHERST MIDDLE SCHOOL","ERIE",684,259,32,84,"amind",4
"AMISTAD DUAL LANGUAGE SCHOOL","NEW YORK",406,317,114,76,"amind",0
"AMPARK NEIGHBORHOOD","BRONX",338,181,13,90,"amind",3
"ANDERSON SCHOOL (THE)","NEW YORK",521,85,1,46,"amind",0
"ANDRIES HUDDE SCHOOL","KINGS",692,580,115,148,"amind",8
"ANGELO PATRI MIDDLE SCHOOL (THE)","BRONX",470,434,165,128,"amind",3
"ANTONIA PANTOJA PREPARATORY ACADEMY","BRONX",441,375,62,132,"amind",9
"ARCADIA HIGH SCHOOL","MONROE",1090,615,24,160,"amind",3
"ARCADIA MIDDLE SCHOOL","MONROE",774,485,20,117,"amind",1
"ARCHER ELEMENTARY SCHOOL","BRONX",467,446,112,146,"amind",9
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS","BRONX",662,517,71,185,"amind",4
"ARMOR ELEMENTARY SCHOOL","ERIE",322,96,3,47,"amind",1
"ART AND DESIGN HIGH SCHOOL","NEW YORK",1490,857,12,325,"amind",9
"ARTURO A SCHOMBURG SATELLITE ACADEMY BRONX","BRONX",177,154,24,37,"amind",2
"ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL","KINGS",196,160,6,50,"amind",4
"ASTOR COLLEGIATE ACADEMY","BRONX",502,387,38,120,"amind",6
"ATHENA HIGH SCHOOL","MONROE",1119,557,29,188,"amind",0
"ATHENA MIDDLE SCHOOL","MONROE",783,382,23,112,"amind",0
"ATMOSPHERE ACADEMY PUBLIC CHARTER","BRONX",408,377,47,86,"amind",1
"AUGUST MARTIN HIGH SCHOOL","QUEENS",310,245,19,71,"amind",13
"AUTOMOTIVE HIGH SCHOOL","KINGS",339,284,22,117,"amind",4
"AUTUMN LANE ELEMENTARY SCHOOL","MONROE",290,169,24,40,"amind",0
"AVIATION CAREER AND TECHNICAL HIGH SCHOOL","QUEENS",2097,1339,60,306,"amind",19
"BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION","QUEENS",536,199,10,41,"amind",3
"BALLET TECH/NYC PUBLIC SCHOOL FOR DANCE","NEW YORK",141,63,4,8,"amind",1
"BANANA KELLY HIGH SCHOOL","BRONX",344,305,60,99,"amind",2
"BARCLAY ELEMENTARY SCHOOL","MONROE",461,223,13,66,"amind",1
"BARD HIGH SCHOOL EARLY COLLEGE","NEW YORK",614,258,0,52,"amind",0
"BARD HIGH SCHOOL EARLY COLLEGE QUEENS","QUEENS",643,280,1,35,"amind",4
"BARKER ROAD MIDDLE SCHOOL","MONROE",712,20,0,89,"amind",1
"BARUCH COLLEGE CAMPUS HIGH SCHOOL","NEW YORK",476,192,4,68,"amind",1
"BATTERY PARK CITY SCHOOL","NEW YORK",832,137,28,172,"amind",1
"BAY TRAIL MIDDLE SCHOOL","MONROE",1083,246,8,105,"amind",2
"BAYCHESTER ACADEMY","BRONX",387,316,24,78,"amind",3
"BAYCHESTER MIDDLE SCHOOL","BRONX",279,245,15,67,"amind",8
"BAYSIDE HIGH SCHOOL","QUEENS",2870,2045,236,538,"amind",104
"BEACON HIGH SCHOOL","NEW YORK",1423,530,1,179,"amind",11
"BEACON HIGH SCHOOL","NEW YORK",936,408,19,192,"amind",0
"BEDFORD ACADEMY HIGH SCHOOL","KINGS",361,326,4,54,"amind",5
"BEDFORD PARK ELEMENTARY SCHOOL","BRONX",389,335,118,70,"amind",5
"BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL","KINGS",355,310,15,72,"amind",6
"BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL","KINGS",702,647,96,146,"amind",2
"BEGINNING WITH CHILDREN CHARTER SCHOOL II","KINGS",412,388,57,82,"amind",3
"BELL ACADEMY","QUEENS",364,159,7,79,"amind",0
"BELLAIRE SCHOOL (THE)","QUEENS",843,504,137,165,"amind",95
"BELMONT PREPARATORY HIGH SCHOOL","BRONX",391,334,48,91,"amind",2
"BEN FRANKLIN ELEMENTARY SCHOOL","ERIE",496,306,44,110,"amind",3
"BEN FRANKLIN MIDDLE SCHOOL","ERIE",654,367,27,145,"amind",3
"BENJAMIN BANNEKER ACADEMY","KINGS",816,605,12,126,"amind",8
"BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE AND INFORMATION TECHNOLOGY","QUEENS",394,337,50,72,"amind",23
"BENJAMIN N CARDOZO HIGH SCHOOL","QUEENS",3622,2294,163,505,"amind",27
"BENNETT PARK MONTESSORI SCHOOL","ERIE",627,486,15,185,"amind",1
"BIG TREE ELEMENTARY SCHOOL","ERIE",527,196,3,77,"amind",1
"BILINGUAL BICULTURAL SCHOOL (THE)","NEW YORK",287,275,99,86,"amind",0
"BILINGUAL CENTER","ERIE",468,441,277,112,"amind",0
"BLASDELL ELEMENTARY SCHOOL","ERIE",429,256,22,121,"amind",0
"BLUEPRINT MIDDLE SCHOOL","BRONX",669,602,138,143,"amind",15
"BOSTON VALLEY ELEMENTARY SCHOOL","ERIE",229,63,1,48,"amind",0
"BOYS AND GIRLS HIGH SCHOOL","KINGS",430,359,27,121,"amind",9
"BRIARWOOD SCHOOL","MONROE",169,44,1,17,"amind",1
