"school_name","ls","p"
"30TH AVENUE SCHOOL (THE)",0.429667986470992,0.000425258352755126
"47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE)",0.0467226125417848,0.000117112163551705
"A D OLIVER MIDDLE SCHOOL",0.10326291268062,0.000642040442733813
"A J SCHMIDT ELEMENTARY SCHOOL",0.0569469255983844,0.000239207823424758
"A M COSGROVE MIDDLE SCHOOL",0.266627902621987,0.00068772249234618
"A PHILIP RANDOLPH CAMPUS HIGH SCHOOL",0.0758952307010278,0.00126165515202156
"ABRAHAM LINCOLN HIGH SCHOOL",0.0216134292899871,0.00158890474379015
"ACAD FOR COLLEGE PREP & CAREER EXPLORATION: A COLLEGE BOARD SCH",0.0542971094167989,0.000297348613840498
"ACADEMIC LEADERSHIP CHARTER SCHOOL",0.195134281480162,0.000435225345397824
"ACADEMY FOR CAREERS IN TELEVISION AND FILM",0.0358414602381191,0.000467618071486594
"ACADEMY FOR CONSERVATION AND THE ENVIRONMENT",0.0348613443190476,0.000249174816067457
"ACADEMY FOR ENVIRONMENTAL LEADERSHIP",0.130767022479271,0.000192695191092166
"ACADEMY FOR EXCELLENCE THROUGH THE ARTS (THE)",0.421458756652655,0.0001436908105989
"ACADEMY FOR HEALTH CAREERS",0.057807731853942,0.000250005398787681
"ACADEMY FOR LANGUAGE AND TECHNOLOGY",0.349242575857456,0.000264125305031504
"ACADEMY FOR NEW AMERICANS",0.166836254617646,9.05335165045092e-05
"ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE",0.142629601510781,0.000486721474051765
"ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP",0.010971923795605,0.000304823858322522
"ACADEMY FOR SOFTWARE ENGINEERING",0.00153715880688064,0.000381237468583209
"ACADEMY FOR YOUNG WRITERS",0.0637391585783216,0.000459312244284345
"ACADEMY OF AMERICAN STUDIES",0.0115596297176553,0.000833905051105755
"ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY",0.160574731620355,0.000257480643269705
"ACADEMY OF ARTS AND LETTERS",0.473681104417243,0.000436886510838274
"ACADEMY OF FINANCE AND ENTERPRISE",0.0269395370298789,0.000537387019985481
"ACADEMY OF HOSPITALITY AND TOURISM",0.167542882224048,0.000156149551402273
"ACADEMY OF INNOVATIVE TECHNOLOGY",0.0516044815857414,0.000354658821536013
"ACADEMY OF PUBLIC RELATIONS",0.128431785609698,0.000217612672698912
"ACADEMY OF TALENTED SCHOLARS (THE)",0.168652305060676,0.000322266095447244
"ACADEMY OF THE CITY CHARTER SCHOOL",1.89884379619646e-05,0.000341369498012416
"ACADEMY OF URBAN PLANNING",0.291449370575284,0.000192695191092166
"ACADEY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL",0.0434718990227092,0.000515791869259635
"ACCION ACADEMY",0.227195888343466,0.000328910757209043
"ACE ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS",0.0114771264846262,0.000459312244284345
"ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL",0.0238966206778117,0.0007184540529945
"ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL",0.0308045395096785,0.000529911775503458
"ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL",0.0225551625804482,0.000911149244086666
"ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL",0.0725819169750746,0.000758322023565293
"ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL",0.0158562202479934,0.00106895996092939
"ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL",0.0427322847804271,0.000911979826806891
"ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL",0.00367510380349625,0.000667788507060784
"ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL",0.0563090516860675,0.000466787488766369
"ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL",0.0911761107770781,0.000442700589879848
"ACHIEVEMENT FIRST VOYAGER CHARTER",0.00648585497865321,0.000201001018294415
"ACORN COMMUNITY HIGH SCHOOL",0.0746403799702535,0.000126248573474178
"ACTIVE LEARNING ELEMENTARY SCHOOL (THE)",0.01717136877946,0.00034718357705399
"AKRON ELEMENTARY SCHOOL",0.102888410836634,0.000454328747962996
"AKRON HIGH SCHOOL",0.281423203874441,0.000367117562339386
"AKRON MIDDLE SCHOOL",0.119457017158487,0.000284059290316901
"ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS",0.0563796382397217,0.000571440911514701
"ALDEN INTERMEDIATE SCHOOL",0.368035500582049,0.000281567542156226
"ALDEN MIDDLE SCHOOL",0.356742722659597,0.00031479085096522
"ALDEN PRIMARY AT TOWNLINE",0.343327093884858,0.000276584045834877
"ALDEN SENIOR HIGH SCHOOL",0.363621117599551,0.000424427770034901
"ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL",0.14650573787927,0.000382068051303433
"ALL CITY LEADERSHIP SECONDARY SCHOOL",0.0302194432551168,0.000358811735137138
"ALLEN CREEK SCHOOL",0.916564664634827,0.000308976771923646
"ALLENDALE ELEMENTARY SCHOOL",0.20308721911292,0.000428580683636025
"ALOMA D JOHNSON CHARTER SCHOOL",0.0749501078766495,0.000215120924538238
"ALTERNATIVE HIGH SCHOOL AT 44",0.132412924095534,0.000117112163551705
"AMBER CHARTER SCHOOL",0.0435973886723672,0.000436886510838274
"AMBER CHARTER SCHOOL II",0.011665156370981,0.000296518031120273
"AMERICAN DREAM CHARTER SCHOOL",0.232960305507214,0.000352167073375339
"AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL",0.0856416126439151,0.000164455378604521
"AMHERST CENTRAL HIGH SCHOOL",0.320309448902501,0.000715131722113601
"AMHERST MIDDLE SCHOOL",0.227833993433222,0.000568118580633801
