"school_name","ls","p"
"30TH AVENUE SCHOOL (THE)",0.0806194301333364,0.000425258352755126
"47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE)",0.0801814714071718,0.000117112163551705
"A D OLIVER MIDDLE SCHOOL",0.0910056913541579,0.000642040442733813
"A J SCHMIDT ELEMENTARY SCHOOL",0.135089592624238,0.000239207823424758
"A M COSGROVE MIDDLE SCHOOL",0.0599356079629122,0.00068772249234618
"A PHILIP RANDOLPH CAMPUS HIGH SCHOOL",0.00118927542617155,0.00126165515202156
"ABRAHAM LINCOLN HIGH SCHOOL",0.00786227447898706,0.00158890474379015
"ACAD FOR COLLEGE PREP & CAREER EXPLORATION: A COLLEGE BOARD SCH",0.00535027508172695,0.000297348613840498
"ACADEMIC LEADERSHIP CHARTER SCHOOL",0.00115496280113943,0.000435225345397824
"ACADEMY FOR CAREERS IN TELEVISION AND FILM",0.0840228698534868,0.000467618071486594
"ACADEMY FOR CONSERVATION AND THE ENVIRONMENT",0.00018604226741616,0.000249174816067457
"ACADEMY FOR ENVIRONMENTAL LEADERSHIP",0.277796134632174,0.000192695191092166
"ACADEMY FOR EXCELLENCE THROUGH THE ARTS (THE)",0.0811165367822165,0.0001436908105989
"ACADEMY FOR HEALTH CAREERS",0.0446515430033945,0.000250005398787681
"ACADEMY FOR LANGUAGE AND TECHNOLOGY",0.943703752239874,0.000264125305031504
"ACADEMY FOR NEW AMERICANS",1.99869097052092,9.05335165045092e-05
"ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE",0.119940670673951,0.000486721474051765
"ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP",0.031492136151943,0.000304823858322522
"ACADEMY FOR SOFTWARE ENGINEERING",0.0427756540028933,0.000381237468583209
"ACADEMY FOR YOUNG WRITERS",0.0519421638938056,0.000459312244284345
"ACADEMY OF AMERICAN STUDIES",0.0666930631393809,0.000833905051105755
"ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY",0.00048573130478022,0.000257480643269705
"ACADEMY OF ARTS AND LETTERS",0.110962293564962,0.000436886510838274
"ACADEMY OF FINANCE AND ENTERPRISE",0.0292815660009373,0.000537387019985481
"ACADEMY OF HOSPITALITY AND TOURISM",0.0169612107933329,0.000156149551402273
"ACADEMY OF INNOVATIVE TECHNOLOGY",0.000627099127726656,0.000354658821536013
"ACADEMY OF PUBLIC RELATIONS",0.0898073806168085,0.000217612672698912
"ACADEMY OF TALENTED SCHOLARS (THE)",0.0124143839553134,0.000322266095447244
"ACADEMY OF THE CITY CHARTER SCHOOL",0.00410373505552608,0.000341369498012416
"ACADEMY OF URBAN PLANNING",0.0425429919864258,0.000192695191092166
"ACADEY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL",0.00652179259768638,0.000515791869259635
"ACCION ACADEMY",0.102094250545435,0.000328910757209043
"ACE ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS",0.00350252051572762,0.000459312244284345
"ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL",0.0150073085275636,0.0007184540529945
"ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL",0.0517674968632161,0.000529911775503458
"ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL",0.0554749816952835,0.000911149244086666
"ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL",7.39854512674305e-07,0.000758322023565293
"ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL",0.114425428999269,0.00106895996092939
"ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL",0.0704860849948846,0.000911979826806891
"ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL",0.0985557218614742,0.000667788507060784
"ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL",0.0966461065463594,0.000466787488766369
"ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL",0.00206527325881779,0.000442700589879848
"ACHIEVEMENT FIRST VOYAGER CHARTER",0.103204180428141,0.000201001018294415
"ACORN COMMUNITY HIGH SCHOOL",0.0306613318663955,0.000126248573474178
"ACTIVE LEARNING ELEMENTARY SCHOOL (THE)",0.536722714136493,0.00034718357705399
"AKRON ELEMENTARY SCHOOL",0.111673264020418,0.000454328747962996
"AKRON HIGH SCHOOL",0.135089592624238,0.000367117562339386
"AKRON MIDDLE SCHOOL",0.135089592624238,0.000284059290316901
"ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS",0.0110307878665214,0.000571440911514701
"ALDEN INTERMEDIATE SCHOOL",0.10155474375865,0.000281567542156226
"ALDEN MIDDLE SCHOOL",0.135089592624238,0.00031479085096522
"ALDEN PRIMARY AT TOWNLINE",0.120455576181051,0.000276584045834877
"ALDEN SENIOR HIGH SCHOOL",0.124714096596662,0.000424427770034901
"ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL",0.0168700816961924,0.000382068051303433
"ALL CITY LEADERSHIP SECONDARY SCHOOL",0.0657239651787876,0.000358811735137138
"ALLEN CREEK SCHOOL",0.0408542110964617,0.000308976771923646
"ALLENDALE ELEMENTARY SCHOOL",0.135089592624238,0.000428580683636025
"ALOMA D JOHNSON CHARTER SCHOOL",0.0943302516801811,0.000215120924538238
"ALTERNATIVE HIGH SCHOOL AT 44",0.0336097610420706,0.000117112163551705
"AMBER CHARTER SCHOOL",0.0219588524783708,0.000436886510838274
"AMBER CHARTER SCHOOL II",0.00138241650514788,0.000296518031120273
"AMERICAN DREAM CHARTER SCHOOL",0.0179132953567528,0.000352167073375339
"AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL",0.0380691028942987,0.000164455378604521
"AMHERST CENTRAL HIGH SCHOOL",0.0655723017479378,0.000715131722113601
"AMHERST MIDDLE SCHOOL",0.0366126508935088,0.000568118580633801
"AMISTAD DUAL LANGUAGE SCHOOL",0.0843007242771954,0.000337216584411291
"AMPARK NEIGHBORHOOD",0.0464318095772721,0.000280736959436001
"ANDERSON SCHOOL (THE)",0.124876007736281,0.00043273359723715
"ANDRIES HUDDE SCHOOL",0.00662511592950631,0.0005747632423956
"ANGELO PATRI MIDDLE SCHOOL (THE)",0.165773017746096,0.000390373878505682
