"school_name","subject","n_students","min_grade","max_grade","z_wgt"
"ACADEMY OF THE CITY CHARTER SCHOOL","ELA",229,"3","5",0.705223318976592
"ACADEMY OF THE CITY CHARTER SCHOOL","Math",226,"3","5",1.04392001613446
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","ELA",494,"3","8",1.15702421640412
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Math",464,"3","8",1.21459482067819
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","ELA",308,"6","8",0.758344132031597
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","Math",305,"6","8",0.941771398693203
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","ELA",241,"6","8",0.113443536109177
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","Math",212,"6","8",-0.204242707169109
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","ELA",412,"5","8",1.15153929044821
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","Math",412,"5","8",1.2728340101866
"COMMUNITY ROOTS CHARTER SCHOOL","ELA",279,"3","8",0.821602050914301
"COMMUNITY ROOTS CHARTER SCHOOL","Math",277,"3","8",0.556546995771856
"COMPASS CHARTER SCHOOL","ELA",115,"3","5",-0.342499169607164
"COMPASS CHARTER SCHOOL","Math",113,"3","5",-0.443864119063941
"ELMWOOD VILLAGE CHARTER - HERTEL","ELA",50,"3","3",-0.111913209153428
"ELMWOOD VILLAGE CHARTER - HERTEL","Math",50,"3","3",-0.313697097973925
"ELMWOOD VILLAGE CHARTER SCHOOL","ELA",285,"3","8",0.250591247617327
"ELMWOOD VILLAGE CHARTER SCHOOL","Math",285,"3","8",0.425479872034316
"GENESEE COMMUNITY CHARTER SCHOOL","ELA",105,"3","6",0.655931776225141
"GENESEE COMMUNITY CHARTER SCHOOL","Math",107,"3","6",0.690107392131109
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","ELA",280,"3","6",-0.13997482936744
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Math",277,"3","6",-0.318747238006974
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","ELA",427,"3","8",0.144754560441497
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","Math",405,"3","8",0.335657929363112
"HELLENIC CLASSICAL CHARTER SCHOOL","ELA",317,"3","8",1.04252277714386
"HELLENIC CLASSICAL CHARTER SCHOOL","Math",317,"3","8",1.68244698610885
"INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE)","ELA",96,"3","4",-0.0652827053394997
"INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE)","Math",94,"3","4",0.341284189037153
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","ELA",146,"3","6",0.265768187353943
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","Math",145,"3","6",-0.00694144303816219
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","ELA",454,"3","8",1.97460470301467
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","Math",409,"3","7",2.46773867646668
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","ELA",160,"3","4",2.25806150474574
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","Math",162,"3","4",3.17762006787317
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","ELA",172,"3","4",1.77490150872978
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","Math",172,"3","4",2.20520547011234
"SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE","ELA",163,"3","4",2.16703988057857
"SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE","Math",162,"3","4",2.55603656297487
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","ELA",301,"3","5",1.69862066002858
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","Math",300,"3","5",1.98690931238208
