"school_name","ls","p"
"30TH AVENUE SCHOOL (THE)",0.070275619391895,0.000425258352755126
"47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE)",0.34870999639181,0.000117112163551705
"A D OLIVER MIDDLE SCHOOL",0.000562061618306547,0.000642040442733813
"A J SCHMIDT ELEMENTARY SCHOOL",0.00926118036559453,0.000239207823424758
"A M COSGROVE MIDDLE SCHOOL",0.00881277225102644,0.00068772249234618
"A PHILIP RANDOLPH CAMPUS HIGH SCHOOL",0.00354163674347163,0.00126165515202156
"ABRAHAM LINCOLN HIGH SCHOOL",0.00161293987798277,0.00158890474379015
"ACAD FOR COLLEGE PREP & CAREER EXPLORATION: A COLLEGE BOARD SCH",0.000592857525670834,0.000297348613840498
"ACADEMIC LEADERSHIP CHARTER SCHOOL",0.0259107920656708,0.000435225345397824
"ACADEMY FOR CAREERS IN TELEVISION AND FILM",0.00249009994203455,0.000467618071486594
"ACADEMY FOR CONSERVATION AND THE ENVIRONMENT",2.4380786907565e-07,0.000249174816067457
"ACADEMY FOR ENVIRONMENTAL LEADERSHIP",0.000484104016324908,0.000192695191092166
"ACADEMY FOR EXCELLENCE THROUGH THE ARTS (THE)",0.000944804889317891,0.0001436908105989
"ACADEMY FOR HEALTH CAREERS",0.00673665586125539,0.000250005398787681
"ACADEMY FOR LANGUAGE AND TECHNOLOGY",0.0597325692918724,0.000264125305031504
"ACADEMY FOR NEW AMERICANS",0.124895680412259,9.05335165045092e-05
"ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE",0.0244076425322873,0.000486721474051765
"ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP",0.00749051061128959,0.000304823858322522
"ACADEMY FOR SOFTWARE ENGINEERING",0.015126209265203,0.000381237468583209
"ACADEMY FOR YOUNG WRITERS",0.00479398896854664,0.000459312244284345
"ACADEMY OF AMERICAN STUDIES",0.0445947317908711,0.000833905051105755
"ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY",0.0223271360519471,0.000257480643269705
"ACADEMY OF ARTS AND LETTERS",0.00360799527117919,0.000436886510838274
"ACADEMY OF FINANCE AND ENTERPRISE",0.0116576603979749,0.000537387019985481
"ACADEMY OF HOSPITALITY AND TOURISM",0.0015951884136647,0.000156149551402273
"ACADEMY OF INNOVATIVE TECHNOLOGY",0.000795213140164203,0.000354658821536013
"ACADEMY OF PUBLIC RELATIONS",0.0535045042603017,0.000217612672698912
"ACADEMY OF TALENTED SCHOLARS (THE)",0.0387975957619509,0.000322266095447244
"ACADEMY OF THE CITY CHARTER SCHOOL",0.015775965312394,0.000341369498012416
"ACADEMY OF URBAN PLANNING",0.0215686709722445,0.000192695191092166
"ACADEY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL",0.00257766268173803,0.000515791869259635
