"entity_name","ls","p"
"ROBERT F KENNEDY COMMUNITY HIGH SCHOOL",0.0207117528568467,0.00254294178596967
"PS 112 DUTCH KILLS",0.021365695957516,0.00144112195905025
"ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS",0.0215922167719009,0.00251010609576347
"JOHN BOWNE HIGH SCHOOL",0.0305373554751181,0.012853348510719
"METROPOLITAN EXPEDITIONARY LEARNING SCHOOL",0.0308800127352497,0.00303912554908571
"PS 117 J KELD/BRIARWOOD SCHOOL",0.034550050131242,0.0033091078907812
"PS/IS 266",0.0505057685813647,0.00232768559461787
"YOUNG WOMENS LEADERSHIP SCHOOL",0.0526631463325229,0.00211607781328897
"IS 250 ROBERT F KENNEDY COMMUNITY MIDDLE SCHOOL (THE)",0.0564346486319505,0.00132437283831706
"JHS 217 ROBERT A VAN WYCK",0.0580788288195888,0.00607095427812559
"QUEENS EXPLORERS ELEMENTARY SCHOOL",0.0639703814459913,0.00129153714811085
"WILLIAM CULLEN BRYANT HIGH SCHOOL",0.0661194608552826,0.00854822468368285
"PS/MS 200 POMONOK SCHOOL AND STAR ACADEMY (THE)",0.0685585879576406,0.00179501773127271
"BAYSIDE HIGH SCHOOL",0.0721463237063125,0.0104709367657575
"JHS 202 ROBERT H GODDARD",0.0772461302014943,0.00401325102520322
"RICHMOND HILL HIGH SCHOOL",0.080010358596391,0.00573530055601769
"ROBERT H GODDARD HIGH SCHOOL FOR COMM ARTS 7 & TECHNOLOGY",0.0806477634567604,0.00230214672445748
"EPIC HIGH SCHOOL NORTH",0.0813813154557304,0.00146666082921063
"QUEENS SCHOOL OF INQUIRY (THE)",0.0814227818634269,0.00214891350349518
"PS 171 PETER G VAN ALST",0.0818089265673396,0.0015177385695314
"PS 63 OLD SOUTH",0.0846653935369505,0.0040679771755469
"BENJAMIN N CARDOZO HIGH SCHOOL",0.0869528835130999,0.0132145411029873
"PS 56 HARRY EICHLER",0.0892150595994364,0.00132072442829415
"QUEENS SCHOOL FOR LEADERSHIP (THE)",0.0898669175979534,0.00144112195905025
"PS 17 HENRY DAVID THOREAU",0.0926800140345234,0.00193730572216628
"ACADEMY OF THE CITY CHARTER SCHOOL",0.0943295598683921,0.00149949651941684
"JOHN ADAMS HIGH SCHOOL",0.0955840494532642,0.00858106037388906
"MS 358",0.0958599418926237,0.0013353180683858
"INFORMATION TECHNOLOGY HIGH SCHOOL",0.0959665310613482,0.00366300366300366
"HILLCREST HIGH SCHOOL",0.0969956281251203,0.0118354421143266
"PS 51",0.0989078773399752,0.000769814514834435
"PS 154",0.100271202945182,0.00229484990441166
"ACADEMY OF FINANCE AND ENTERPRISE",0.100589265734999,0.00236052128482407
"PS 206 HORACE HARDING SCHOOL (THE)",0.10111956325514,0.00212337463333479
"PS/IS 295",0.101910536713951,0.00172569794083738
"HIGH SCH-CONSTRUCTION, TRADES, ENGINEERING & ARCHITECTURE",0.104050736275917,0.00389650190447003
"ENERGY TECH HIGH SCHOOL",0.104755538918719,0.00194825095223502
"AVIATION CAREER AND TECHNICAL HIGH SCHOOL",0.106162069769469,0.0076507158180465
"PS 13 CLEMENT C MOORE",0.106287618279073,0.00554193482480335
"ROBERT F WAGNER JR SECONDARY SCHOOL-ARTS AND TECHNOLOGY",0.108407016426702,0.00236416969484699
"PS 377",0.108500041906858,0.00045240284284109
"NEWTOWN HIGH SCHOOL",0.113512404615351,0.00644674051048553
"IS 204 OLIVER W HOLMES",0.116647404997867,0.00167826861053953
"IS 10 HORACE GREELEY",0.116707553469402,0.00291143119828379
"PS 182 SAMANTHA SMITH",0.118620961700722,0.00260496475635918
"PS 219 PAUL KLAPPER",0.119774790382932,0.00215256191351809
"QUEENS ACADEMY HIGH SCHOOL",0.121133377587386,0.00110911664696525
"PS 151 MARY D CARTER",0.123325782751834,0.00121127212760679
"FLUSHING HIGH SCHOOL",0.127771864026626,0.00592501787720911
"PS 108 CAPT VINCENT G FOWLER",0.128238454310745,0.00501291537148111
"VERITAS ACADEMY",0.130979985470645,0.00207594530303694
"HUNTERS POINT COMMUNITY MIDDLE SCHOOL",0.13261397450048,0.00156151948980634
"PS 99 KEW GARDENS",0.13636790039794,0.00286035345796302
"FOREST HILLS HIGH SCHOOL",0.13861368387711,0.0138384192169053
"VOICE CHARTER SCHOOL OF NEW YORK",0.139105506723242,0.00249551245567182
"PS 166 HENRY GRADSTEIN",0.140295821204333,0.00351706726208718
"PS 11 KATHRYN PHELAN",0.146252284206951,0.00352436408213301
"THOMAS A EDISON CAREER AND TECHNICAL HIGH SCHOOL",0.147491238350275,0.00800826000029187
"PS 234",0.15033180695774,0.00164908133035623
